_id,category,productId
4oGDDfsQtTSKH5cxd,BsCK5EMCffnjAkRSM,4oGDDfsQtTSKH5cxd
rcjJ7uQvBSLZtAZam,Tc5rSLKCMbEGbmWR2,rcjJ7uQvBSLZtAZam
AWkcNzdctkHTH5qfn,KyMabj6vBgST4zvR7,AWkcNzdctkHTH5qfn
YBWyd5AYaWTjvpQnm,KBgBdiS2cMeJGnKA8,YBWyd5AYaWTjvpQnm
xKhuwCPYYQPkQ6XSW,5ZMGpNamiynmAyKd9,xKhuwCPYYQPkQ6XSW
CZK2kBc8izkADT5mJ,BsCK5EMCffnjAkRSM,CZK2kBc8izkADT5mJ
CZK2kBc8izkADT5mJ,BNLMc3u42AoZBRWXe,CZK2kBc8izkADT5mJ
PN9W9ioHQQD2aWAP6,BsCK5EMCffnjAkRSM,PN9W9ioHQQD2aWAP6
4EjgSgFWR4nod7EPu,BsCK5EMCffnjAkRSM,4EjgSgFWR4nod7EPu
LmB8zexSTauj69BPw,p77aoMmzYv2nLANRr,LmB8zexSTauj69BPw
TfBrsnMdfK6PERxF5,BsCK5EMCffnjAkRSM,TfBrsnMdfK6PERxF5
rXpoBH3xqsA6Rvcux,BsCK5EMCffnjAkRSM,rXpoBH3xqsA6Rvcux
itjGm8SzgMSw3wqfm,BNLMc3u42AoZBRWXe,itjGm8SzgMSw3wqfm
u7pyCPKXSZFoALCJT,BsCK5EMCffnjAkRSM,u7pyCPKXSZFoALCJT
gYHkZnwKfgcS6HSR8,4LmTsd3WkQ8qKBcKA,gYHkZnwKfgcS6HSR8
rDXuhHJxJsBqfXMr6,BsCK5EMCffnjAkRSM,rDXuhHJxJsBqfXMr6
qNdhPyc9XxBiLkaFm,BsCK5EMCffnjAkRSM,qNdhPyc9XxBiLkaFm
WvNfGc7NvwqhoFr42,XtsjxrTeGF6cSALic,WvNfGc7NvwqhoFr42
m6ofrWEKQbS95dmN3,BNLMc3u42AoZBRWXe,m6ofrWEKQbS95dmN3
dbwRPvZEvKKba2K7A,p77aoMmzYv2nLANRr,dbwRPvZEvKKba2K7A
dbwRPvZEvKKba2K7A,KyMabj6vBgST4zvR7,dbwRPvZEvKKba2K7A
p4NoJdeKsRpoMskB3,c2jQt99DA23rBKJN5,p4NoJdeKsRpoMskB3
yA765ELQ4zdqxNqnc,p77aoMmzYv2nLANRr,yA765ELQ4zdqxNqnc
tPzYN93ncEK6TydRh,Cgjwnv2ToasRXwXDb,tPzYN93ncEK6TydRh
MNAvrYXyFsHpCvMxn,Cgjwnv2ToasRXwXDb,MNAvrYXyFsHpCvMxn
vLBZ5ZZroWrP8eLdo,Jvk3P8DnCT5D8uusM,vLBZ5ZZroWrP8eLdo
ALfjyLLmP5jek94T2,Cgjwnv2ToasRXwXDb,ALfjyLLmP5jek94T2
oF48eNjTBhsW9L93F,c2jQt99DA23rBKJN5,oF48eNjTBhsW9L93F
7hN7QaxB6vEHLEEfM,c2jQt99DA23rBKJN5,7hN7QaxB6vEHLEEfM
8u4qbKqPn939JMnMg,c2jQt99DA23rBKJN5,8u4qbKqPn939JMnMg
Zm7TusZPyN5K5fNw5,4LmTsd3WkQ8qKBcKA,Zm7TusZPyN5K5fNw5
rNQSh7tSL28gA6zrx,c2jQt99DA23rBKJN5,rNQSh7tSL28gA6zrx
wtpweaEPBEQ7wJGW4,Jvk3P8DnCT5D8uusM,wtpweaEPBEQ7wJGW4
KakXG42Q33XbfukK7,x6gEaBuQnwHgSBNY3,KakXG42Q33XbfukK7
bsqhEoWrcGtfbMKZt,x6gEaBuQnwHgSBNY3,bsqhEoWrcGtfbMKZt
dEnsEd6XCCxq57ypK,Cgjwnv2ToasRXwXDb,dEnsEd6XCCxq57ypK
znpSbdLyTKYqSaQso,kERzgv65HBDpypRrx,znpSbdLyTKYqSaQso
e8WaeNkeNqTJbtwAA,3HriQhzZeArWiszXR,e8WaeNkeNqTJbtwAA
zy5D43EokzptJbLsp,N5kXtazLjiBoisoMW,zy5D43EokzptJbLsp
Cb3R42nk7Nq779iHt,GsYjkZiFLuiQRzAfy,Cb3R42nk7Nq779iHt
Cb3R42nk7Nq779iHt,Kive8CqkAqMybxcbo,Cb3R42nk7Nq779iHt
2yxayjgnGJGB3y9FX,tsf9okLs2in2GBHSq,2yxayjgnGJGB3y9FX
XEzCbtN8pzm8KqQwR,XtsjxrTeGF6cSALic,XEzCbtN8pzm8KqQwR
Hh4Y9hzK7v9GmHq8v,XtsjxrTeGF6cSALic,Hh4Y9hzK7v9GmHq8v
DcK7aNf9yqDxe8tn7,pK9KkeYjQCNNnBgZf,DcK7aNf9yqDxe8tn7
7WrGrDumXQbeSNtKm,36vL4oiyydM68Mkyu,7WrGrDumXQbeSNtKm
uLcFRvmfpuHhbWGir,BsCK5EMCffnjAkRSM,uLcFRvmfpuHhbWGir
4hhZmf3tqS4SpAGMv,QPYECDXXMGjHNQczr,4hhZmf3tqS4SpAGMv
RG2LcojJiLrNXAzy5,Cgjwnv2ToasRXwXDb,RG2LcojJiLrNXAzy5
LXoEYinRDntThaSCH,N5kXtazLjiBoisoMW,LXoEYinRDntThaSCH
EEs8mKerREzgMfY5F,t6FFXEPjQZLoX8GSM,EEs8mKerREzgMfY5F
AsPzPJjEFibtGXEMi,x6gEaBuQnwHgSBNY3,AsPzPJjEFibtGXEMi
gxA9ax7SK6fSDMTsG,Jvk3P8DnCT5D8uusM,gxA9ax7SK6fSDMTsG
w7A3WRFGAb4SSjHYt,GzqxDJe2DCk7vYvj3,w7A3WRFGAb4SSjHYt
SsKBoWCbtQECA2dyu,GzqxDJe2DCk7vYvj3,SsKBoWCbtQECA2dyu
MAn4W7bHsHZPYBxfg,ra4SacSZpLDgKP5QT,MAn4W7bHsHZPYBxfg
