productId,userId,rating
zF6XkNiseaTLonSin,,
ZWfrMkTNJEJwibNxL,,
Zph4F9sDYksukEGxj,,
xeCzoHfnEXRwug4hy,,
sh2girWBL6L5u3n94,,
ypY4AvpSscS7PmMkM,,
hwyzdpYsZqqXg3zeg,,
LMv9asjBKFTkFCmaC,,
ewqScwekzWbdRsDLx,AHH8qqchWnYeF57Gb,5
EycRuMfkWTPaCLvit,,
qRez65r7rftaSp3Sv,,
xXx7DunZfjHeFgg6u,,
nHRgZQGgPHmQzS6Y2,,
PNzpY6Fm5DQ2jrwst,,
GQiE2xFiqmNGAwTco,,
nznR3Wv5PQRffRzk3,,
ZiCW7ZpSEdnkAJLxA,,
a5chC7sG6EsKC7Hjw,,
zQhY3DdgjMBgBmwms,,
T9o99CsuMsFBG4jRw,,
KvC9uy42YYf488Xut,,
SnWo36ssDKsK866eQ,,
go2T2d8EnrEqeemeg,,
qutJ9kTo4QcoRaoAG,,
dpmsGogZQRc2XxMsi,,
yyPgfm5jGBSR7rAKY,,
f7q9psXiuvxDneEXc,,
DrEHmfgj58y87FjqH,,
2NHQ5ztZC585ZgW9w,,
hcJLCSJduQFRcwXwy,,
qTFkaN3RErRacT7Kr,,
3KFKLwzGfXtoZrQqi,,
drjei5Q5PNEs24WRC,,
4FHmRYXp4XMG33rbC,,
nANK2iSowExEmMDDn,,
mrPsw2kZA4h8YevpE,,
KeTZ3WzcA6nmtywDs,,
LgPLMzw4KjAH7uCcJ,,
XBj9uLQxNJecCquqL,,
HFahqf3npXAgukzJD,,
Rs2DLTqLykHrDPJzK,,
p5Zd7df5LpAWmDBHS,tLNdr8FDL2LXtErJy,5
Xb7ArTqMgsTska4zg,,
zbaPd6Stzck2J3jFw,,
gQnbzzoSQGQ4NWbcR,,
vATTD5YD9MyxkiXi9,,
SXfayk6PvCqGY6JWF,,
rvgfMNzXsPoBin4MJ,,
ZMJStmMgcg5ieCMAi,,
vPJfxqj7kc7BmwyYy,,
QuTY9tgTBRDLACK2E,,
Gop7fpF6y8oPamcgm,,
YnNWGRJNqPZcdfeuS,,
NBJQEE9rNnwqEdudE,,
vfc3ZMb5jZL6XC2Lo,,
vCzuoGm9zLbHqbXyF,,
4gRfKEfL2wZb4ZRvN,,
pmghBtk4SAEPvPyk3,,
hKpB5Tp8qhGgHMoCC,,
joELjDcoXwFCnuTpH,,
Gcu8aFbNGS2GBPH9w,,
upauCaDWpJTNoagHq,,
Gw8p3P2ZQFE78guSh,,
9EmjRvbeQzZz6Phyu,,
NkR9PRWMdARs8B9eQ,,
ut2jB4GkKmgc7dfxa,,
jJDYbZr2HtyCdNw39,,
wHfKjCT8ByntZPrQG,,
xGw8m6pk7ezZMtHFF,,
gsivGiSNcQbstfEyp,,
uAsWZpTzsHpBzdigA,,
uQfdr5ukE5Wx5P2Rb,,
MTJPLp3k9TLWKphWW,,
gMmR3uLXcqxmibNHP,,
yiJnQddaZWnYuGmcG,,
Zv348YZxga6e8qfkb,,
FRrP9rXA7iMvxoiWT,,
zTNoFC4cefFSqkNKd,,
bPDb6jxZicTfagpwR,,
AxDWqPS36rQdkHc4r,,
49TxbdrvqBpwBkHPn,,
Xc4afriHTsvvp9HBn,,
nE68vcpPpjdK9dsGz,,
Rr9hsSWMEGyf7aMuB,,
jaWszFtFLJnf7wNWe,,
GQM63KrYFmNXSYxkp,,
7hsBKvtZhoL25N4e9,,
GdY64KyMtPMjvrSxH,,
y4h7QHdL8g8Sg6qvK,,
p5WK4ck8BvYtPrdu2,,
jaF2ogxpN6GvmLi4k,,
XQFfdkhHEKJQh5Aum,,
Xn5sJPmcumdWJr8jm,,
XScYsDgujkxPK2wQP,,
DmGtcFSZcYgPKz9ER,,
Mih6ZNnBmL4EdKzps,,
BszehJ7v8eEa9tCp2,,
P4sRaKHageRF3pDkz,,
6Zq2zETRacJxrPZaQ,,
YNtWJRHmhLnBxGhse,,
mpsRrrWNb4eay6Gyw,,
7fqTogKs7Be6FL7XR,,
jw8cKsDtq9eHMFvm4,,
QZjXgNmhTCyHY63uF,,
8m2azyLsD7fwiiTAr,,
tftrHpPygJi2Xu5Wg,,
zW2D6Ja8Sdqmo3z82,,
rGDbbnwP2s6p9XMQ8,,
gBQrBZtdjp5fNyYRv,QLwhPC9o59wh4nP44,5
N2HsuWqtzmq6hNtCc,,
DpJnyNPQ63p3fk9af,,
rNPo4fF8tzbWY26cb,,
m7xSmEQAbH9AnocvX,,
ADJ32ExLHeYMejDza,,
nKxKhHXuF2YHMaSAE,,
QemCy3Earm3NJMeyf,,
oiGfpu2HTSTjHPL66,,
iB33NaoCxcuzWRbbn,,
XRgTQx82cWvampafa,,
w8QrDMz8HQC9nDgLq,,
PGEdhQFPxnwkG7X2j,,
9HEmfbPA7CXR862Dz,,
M5RftEACBa72EvAa9,,
PkSBaZdehJs9dDbRv,,
vRqrN6Zd7nnnk76BC,,
jQrXDomWxQZBNC9HT,,
MGmEJqZCqFKiYghgn,,
Wks34oQwfbxCDusq3,,
JTve6dDzKKRBbaD5x,,
4xchm8cHfTPrvDLAn,,
JbtEK5r7BYKFgQS8a,,
n3cjG9SkxdwC9MuvA,,
XAekhRqLdBFY6L4Zu,,
gB7ew9W3ojHkCiEdb,,
h3hCrZoW2FfEqz274,,
pQxzAwExokz6B9s7A,,
okz4gpzMft4QZGNDW,,
mB9fx2sH5KkZeB7Lv,,
bpCJbTjnjhf5qrmZW,,
SNf8mFm2foCwskXZW,,
aHZvP7AHeDMZaPjcE,,
icWzAWZwHdW5r3gxG,,
dtXtXZNuS977Ha8D7,,
oR7eEgT3vkMpex7jq,,
kxyzDn8rHxpQHJMbt,,
mAAcoJaZ8Bq5mNisJ,,
LhGqTtxYCdyXtgSuA,,
vQn5qnXsnzd3Thd7w,,
NtxMo5n5YFsWk83Gy,,
ZfpGcaf8aHLTRbmfi,,
JWCGBvYuQ39ZtoW5L,,
M5T4oxoHubMX7HENz,,
yRiMWZ4E9viyv7Pqo,,
bpLZCMsLvgg7vdWHi,,
bTPdDJskAF3gvFo3x,,
Wxv8J2WauZRjodxJ3,,
bZLfCh6rcw6h9Nh5r,,
n9f4spZu5MY5imWpS,,
TPj5KeQ2oxHLMYksF,,
GvKYbJsrNG39fyvXa,,
dbiPs2XrJRLjuS5CG,,
5D6G33A3peuuCtEYS,,
qNQgxnGoTDusyfxhF,,
r4nHbBkJ7RQ6tbDBo,,
wo8iLgrL7oN4hufDz,,
2gtpT38n5jpNNwqEk,,
jHCiBQz7WkJfNYSZt,,
YR8gBayJZLJs9hf4g,,
qexw48JAs7yk6LjLy,tLNdr8FDL2LXtErJy,5
QLZKxvoS3H84eJa6H,,
i9x394QDjXJc6aMAH,29E6kDag8g6FG6brn,5
i9x394QDjXJc6aMAH,n9RfwDJRTEeqDXBtc,3
i9x394QDjXJc6aMAH,WJ4aM8H8kwxydMcQ5,5
i9x394QDjXJc6aMAH,ozyF5GaanmNNGCcw4,
BYunyMCKvHcAAzBvd,Dcb8SHtsvMFsgZ9Ea,5
BYunyMCKvHcAAzBvd,n9RfwDJRTEeqDXBtc,3
KcPXq3R6qKJNxT7hY,vqjRi9nsY9vfdXRpG,5
KcPXq3R6qKJNxT7hY,v9FCr99d4MLbai3hQ,
PWtRpzf2uNMoQppu7,,
WSKrNL5KZ278cgLqm,,
xAzDykHpxLSi9fjDm,,
pdCjeZoM2QpFELgFn,,
X89nc3gZCiAffGSki,,
47tKqxp9vbMZSZhov,,
XiovcQdXFt2LLTKMB,,
Hqyjsh8SbEbjDxpXJ,,
SYCJgr6gwn6WTfAd8,,
e2JHBj6sZnQomNjrF,,
zgnWstC6MosNmqvGP,,
y22waGGKgAYwrAY5v,,
3R87c5ZsEfcPhFgTz,,
63EpkiYgcT2FZuBtd,,
7esnxK7iFDJfaXSsD,,
E4ZsgHHMm3aXRXErG,,
FM6XF37FGTrXjeDAy,,
feuvdtg8Zj8qtmwA5,,
84Gwt2zy6D6vZMgX9,,
JybzeHsgNzm86ShN9,,
eESFR8R4u84Mu2bQ9,,
yDo7DXhxSnoPifpCh,,
h8c8ifPozugYDQzP7,,
4FNEmvKoQHJdgvv5M,,
YpJjT2yXzHjsg3g2w,,
dyfsgGPRm84L94Sjj,,
R27737u9RM7SX5bZw,,
4ySaFZgMcqWgNwwx8,,
o8iAqEe6CEo9aefTC,,
4geWSbb3a4xFaRQhP,,
bL4wmx4drPXhxBwQz,,
gf5wuZa4BTYneo7za,3yWJHyFp2JTyxWdCr,5
fcfsjvmhDJgrdY6bQ,,
oBPKWavWhxcQcDdYL,,
hieg5koShhSt5ufa4,,
GpnckeGuRERrXKnQZ,CKeH2CE9LJpmPmdvb,
t6D5Lf75Rczqu9qDz,,
cbWs2AiAaPhqSx46L,,
cywbAtDQ9PoFkJFPh,,
vPBAmeQenSbPykAc4,,
yriAqeEbZj5te9jSK,,
FZPcSBreTPdKf222L,,
2rkqSqNhWEeYCS7xc,,
w3dG9RcwRf66feJet,,
ZvQQsvFzX7qdQSmPG,,
ZJXcjuzuPgdwQeipg,,
sqvaQCK6hfbuhoyBw,,
bLxvbr65BMfMmkDFE,,
kufRvrGoA5yaKzwxW,,
AKa2E7ui2Kyn87vjL,,
MWJapZ8hEGvTeZHqz,,
fvS7LXPrTqFYdcY7P,,
2qEMbGsRFHZbdh3rH,,
qbEWMau4ZfAQCCy5k,,
WzcHPShHyu5mdENLi,,
yrL2sansmRQNvYfdg,,
xhdbhGPac6uYzreRr,,
GjXYxiN5Ltrj8RaYH,,
yQD6C2M3tF444HnHD,,
m8YknKLNK3EEzCgbt,,
fgxHpmpjz7vJzmuBg,,
8q7oGEbZ2uiXz3ngj,,
zpjPdeyRk3rofewD4,,
w64mBjaFtWqMJDPAu,,
hiZbxw4agaNGAgmF5,,
T5idCSya25QMD4ZGh,,
yNhpdZNNZFDYrYeYi,,
WhgXq4j2GQroyq4CF,,
egrJb8ogAu9LYs9rL,,
qvT54zT3oX2BPLptn,,
Ett4QN9kMpgCEp7ud,,
jXaaQ4vhYBHQ48QEz,,
Ryi2ZmuyXDKM4iqPk,,
uCjGmfPbwE8nnQpf7,,
4NcBGBLBBG7vNcsiH,,
dxrWLi9PidshqhZWG,,
4hvadRDP62CWQgc8Z,,
dXnMMsCbcZd84rPgM,,
P6siSbvAcoXvkRxbx,,
otF52hGrLpLr66jMx,,
pBdxBvNvprbLFpGqv,,
LG54XyQLii4HX7QGu,,
aQT2ZcjWGsKZWXZjr,,
rGG2SBNdwN6ajj8mN,,
mWq83iKvHwCadTHc4,,
knt6GnBc6Hr5H5YrX,,
XqTLLkxe9Dt3CXtxS,,
tDLPjEyPEySBjviZ7,,
5AwC9TsSzj4hDCzDA,,
Xi7QCkuagKpfJRaD5,,
Xy6ww28znDh75AnmB,,
KhaYhSsYy8gDjQWo5,,
MXsZvmGivzZEjZSRq,,
g4wFA5NtAxRq3jqWb,,
tDFFbQMKPRTvEtQqH,,
iuSLA8vu7ncMcyiYY,,
Lqr4dwrQfETW83rYg,,
76ixFEgc2s2oAJweC,,
oGkWDk5AKKSiypE2T,,
Z5ut8Z8iSmEbfvjRi,,
RMLbfxQ6oMFBDp38y,,
bwtj2tqmuAGbnAvcE,,
wT85Cz63dBdQYs3PD,,
o2FutJmXaG2jbs5se,,
CZXfiPWG6iCLEqkYF,,
9T5GM7bcGRjvjWCSp,,
ote2btjAutdafcos9,,
7he5XRMjgTxQmdkGZ,,
3KFuu7RrvRHgQwT6v,,
yFSpx4NmKWfx4vtPf,,
KAyWZqf9fnQPemhR4,,
97JvTnrrb5YC9ArtF,,
H8b47E3kCEi6ugr8y,,
RNixWiZKJd4hgQ7nc,,
b7737qGzRRnBL4G3p,,
GwCxLuNrkBbvixzGu,,
kYhBrQx4AWRxDYvb7,,
csvwjywfopdAFmkB3,,
mkNJ5qc3WZrc3nRKc,,
JW4cNKBzfaZPrYqtm,,
KFhqTiLdSX79iiHsr,,
k3hkiXrxsXoyLwHAv,L8AwZZrYJJHr6QcoW,4
n4eq7gQeyAawAgGYB,L8AwZZrYJJHr6QcoW,4
XYRcrEiF9etHmCkod,,
xdGQRpqGpXHpYGari,,
sXnXHKN8w4b3ZLKSC,,
vikgEspBuzpijAzGm,,
tqeA2szb7k2Lxmuee,,
6CQpMXPXBMm5MJtRv,,
SZ2BA6nCKwwjK6WME,,
wG6JTGZZDcFQKxXDq,,
EYaxZ2QnkhjTJvWRQ,,
ycwPB5zAMtZbHefQZ,,
2uiRKfaPEa2CXapyG,,
ED7xqiXut2gRaXpwB,,
F9iRMu4X7atRXZdEM,,
Jw6PMSc4iNzfDj7dE,,
NWWkFpw3yXiMw6h7b,,
5d6CnYnzKKPmTYnKJ,,
Pq2jMpBXZ4jkuhkH6,,
o6YTZxB6uXAf6M4Q3,,
