Date,Open,High,Low,Close,Adj Close,Volume
2021-04-30,739.000000,759.450012,724.500000,730.049988,715.175354,12600934
2021-05-03,727.650024,764.000000,713.750000,761.400024,745.886658,25953577
2021-05-04,779.849976,782.000000,760.049988,768.750000,753.086853,31400296
2021-05-05,772.000000,774.799988,732.700012,738.099976,723.061401,29426971
2021-05-06,745.000000,753.700012,735.599976,740.799988,725.706360,11926793
2021-05-07,747.700012,778.000000,745.250000,767.750000,752.107239,20782117
2021-05-10,774.400024,779.500000,762.450012,765.450012,749.854187,9201326
2021-05-11,751.000000,789.700012,750.349976,762.650024,747.111267,12978165
2021-05-12,763.000000,772.799988,747.700012,751.599976,736.286255,10615003
2021-05-14,757.900024,758.650024,727.500000,733.549988,718.604126,10876267
2021-05-17,740.000000,760.000000,737.000000,754.200012,738.833313,12271212
2021-05-18,765.000000,780.000000,757.099976,775.900024,760.091248,9877934
2021-05-19,784.000000,791.900024,769.299988,772.400024,756.662598,15666729
2021-05-20,776.500000,779.500000,761.049988,765.700012,750.099060,6964023
2021-05-21,772.000000,775.250000,766.650024,769.200012,753.527710,5274817
2021-05-24,769.700012,779.900024,746.599976,766.549988,750.931702,8354397
2021-05-25,773.000000,776.700012,759.000000,764.000000,748.433655,4730725
2021-05-26,767.849976,769.900024,757.000000,758.299988,742.849792,7375242
2021-05-27,758.299988,765.000000,749.450012,751.400024,736.090454,7909776
2021-05-28,755.000000,784.900024,754.000000,776.150024,760.336121,13623565
2021-05-31,779.950012,779.950012,761.700012,769.549988,753.870605,7820165
2021-06-01,773.099976,801.799988,764.299988,798.200012,781.936829,17847137
2021-06-02,802.950012,824.000000,802.950012,811.500000,794.965881,27748928
2021-06-03,818.849976,849.000000,810.700012,825.299988,808.484741,24105079
2021-06-04,830.799988,841.950012,823.000000,833.849976,816.860474,14457348
2021-06-07,837.400024,898.799988,835.650024,878.599976,860.698730,33684310
2021-06-08,883.400024,887.799988,859.150024,874.200012,856.388367,16422574
2021-06-09,879.250000,901.000000,831.299988,852.599976,835.228394,31225441
2021-06-10,858.549988,863.950012,843.299988,846.750000,829.497681,11744190
2021-06-11,852.000000,856.400024,820.700012,839.750000,822.640320,17460610
2021-06-14,755.799988,783.700012,681.099976,768.450012,752.793030,89771631
2021-06-15,802.900024,802.900024,755.000000,761.849976,746.327454,45408426
